"group","method","path","operation_id","deprecated","accounting_category","cli_exposed"
"Root","GET","/app/rest","getRootEndpointsOfRoot","false","ReadOnly","false"
"AgentPool","GET","/app/rest/agentPools","getAllAgentPools","false","ReadOnly","false"
"AgentPool","POST","/app/rest/agentPools","createAgentPool","false","Update","false"
"AgentPool","GET","/app/rest/agentPools/{agentPoolLocator}","getAgentPoolOfAgentPool","false","ReadOnly","false"
"AgentPool","DELETE","/app/rest/agentPools/{agentPoolLocator}","deleteAgentPool","false","Update","false"
"AgentPool","GET","/app/rest/agentPools/{agentPoolLocator}/agents","getAllAgentsFromAgentPool","false","ReadOnly","false"
"AgentPool","POST","/app/rest/agentPools/{agentPoolLocator}/agents","addAgentToAgentPool","false","Update","false"
"AgentPool","POST","/app/rest/agentPools/{agentPoolLocator}/authorizationTokens","generateAutomaticAgentAuthorizationTokens","false","Update","false"
"AgentPool","GET","/app/rest/agentPools/{agentPoolLocator}/projects","getAllProjectsFromAgentPool","false","ReadOnly","false"
"AgentPool","POST","/app/rest/agentPools/{agentPoolLocator}/projects","addProjectToAgentPool","false","Update","false"
"AgentPool","PUT","/app/rest/agentPools/{agentPoolLocator}/projects","setAgentPoolProjects","false","Update","false"
"AgentPool","DELETE","/app/rest/agentPools/{agentPoolLocator}/projects","deleteAllProjectsFromAgentPool","false","Update","false"
"AgentPool","DELETE","/app/rest/agentPools/{agentPoolLocator}/projects/{projectLocator}","deleteProjectFromAgentPool","false","Update","false"
"AgentPool","GET","/app/rest/agentPools/{agentPoolLocator}/{field}","getFieldFromAgentPool","false","ReadOnly","false"
"AgentPool","PUT","/app/rest/agentPools/{agentPoolLocator}/{field}","setAgentPoolField","false","Update","false"
"AgentType","GET","/app/rest/agentTypes/{agentTypeLocator}","getAgentType","false","ReadOnly","false"
"Agent","GET","/app/rest/agents","getAllAgents","false","ReadOnly","true"
"Agent","GET","/app/rest/agents/{agentLocator}","getAgent","false","ReadOnly","true"
"Agent","DELETE","/app/rest/agents/{agentLocator}","deleteAgent","false","Update","false"
"Agent","GET","/app/rest/agents/{agentLocator}/authorizedInfo","getAuthorizedInfo","false","ReadOnly","false"
"Agent","PUT","/app/rest/agents/{agentLocator}/authorizedInfo","setAuthorizedInfo","false","Update","false"
"Agent","GET","/app/rest/agents/{agentLocator}/compatibilityPolicy","getBuildConfigurationRunPolicy","false","ReadOnly","false"
"Agent","PUT","/app/rest/agents/{agentLocator}/compatibilityPolicy","setBuildConfigurationRunPolicy","false","Update","false"
"Agent","GET","/app/rest/agents/{agentLocator}/compatibleBuildTypes","getCompatibleBuildTypes","false","ReadOnly","false"
"Agent","GET","/app/rest/agents/{agentLocator}/enabledInfo","getEnabledInfo","false","ReadOnly","false"
"Agent","PUT","/app/rest/agents/{agentLocator}/enabledInfo","setEnabledInfo","false","Update","false"
"Agent","GET","/app/rest/agents/{agentLocator}/incompatibleBuildTypes","getIncompatibleBuildTypes","false","ReadOnly","false"
"Agent","GET","/app/rest/agents/{agentLocator}/pool","getAgentPool","false","ReadOnly","false"
"Agent","PUT","/app/rest/agents/{agentLocator}/pool","setAgentPool","false","Update","false"
"Agent","GET","/app/rest/agents/{agentLocator}/{field}","getAgentField","false","ReadOnly","false"
"Agent","PUT","/app/rest/agents/{agentLocator}/{field}","setAgentField","false","Update","false"
"Root","GET","/app/rest/apiVersion","getApiVersion","false","ReadOnly","false"
