"method","path","commands","implemented_scope"
"GET","/app/rest/agents","agents list","Connection/enabled/authorization filters and one bounded page"
"GET","/app/rest/agents/{agentLocator}","agents show <id>","Positive numeric ID and selected fields"
"GET","/app/rest/buildQueue","queue list","Job/project filters and one bounded page"
"POST","/app/rest/buildQueue","jobs run <id>","Build configuration ID plus optional branch/comment only"
"POST","/app/rest/buildQueue/{queuedBuildLocator}","queue cancel <id>","Cancellation with optional comment; readdIntoQueue=false"
"GET","/app/rest/buildTypes","jobs list","Direct project filter and one bounded page"
"GET","/app/rest/buildTypes/{btLocator}","jobs show <id>","ID locator and selected fields"
"GET","/app/rest/builds","builds list; jobs status <id>","Selected locators and one bounded page; latest-build convenience query"
"GET","/app/rest/builds/{buildLocator}","builds show <id>","Positive numeric ID and selected fields"
"POST","/app/rest/builds/{buildLocator}","builds cancel <id>","Cancellation with optional comment; readdIntoQueue=false"
"GET","/app/rest/changes","builds changes <id>","Build-scoped; one bounded page"
"GET","/app/rest/problemOccurrences","builds problems <id>","Build-scoped; one bounded page"
"GET","/app/rest/projects","projects list","Parent/archive filters and one bounded page"
"GET","/app/rest/projects/{projectLocator}","projects show <id>","ID locator and selected fields"
"GET","/app/rest/server","server status","Selected server fields"
"GET","/app/rest/testOccurrences","builds tests <id>","Build-scoped; optional status; one bounded page"
"GET","/app/rest/users/{userLocator}","auth status / auth login / profile configure","Only the current-user locator, for token validation"
