method,path,cli,permission,evidence
"PUT","/app/rest/buildTypes/{btLocator}/parameters","jobs parameters replace-all <owner-id> [--property <name=value>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/parameters","jobs parameters clear <owner-id> --confirm","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/parameters/{name}/value","jobs parameters value show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/parameters/{name}/value","jobs parameters value set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/parameters/{name}/type","jobs parameters type show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/parameters/{name}/type","jobs parameters type set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/parameters/{name}/type/rawValue","jobs parameters raw-type show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/parameters/{name}/type/rawValue","jobs parameters raw-type set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/parameters","projects parameters replace-all <owner-id> [--property <name=value>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/projects/{projectLocator}/parameters","projects parameters clear <owner-id> --confirm","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/parameters/{name}/value","projects parameters value show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/parameters/{name}/value","projects parameters value set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/parameters/{name}/type","projects parameters type show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/parameters/{name}/type","projects parameters type set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/parameters/{name}/type/rawValue","projects parameters raw-type show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/parameters/{name}/type/rawValue","projects parameters raw-type set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/output-parameters","jobs output-parameters replace-all <owner-id> [--property <name=value>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
